Subfamily	Genus	Species	Subspecies	Author Date
Dorylinae	Aenictogiton	ug01		null
Dorylinae	Aenictogiton	zm02		null
Dorylinae	Aenictus	eugenii		Emery, 1895
Dorylinae	Aenictus	ga03		null
Dorylinae	Aenictus	turneri		Forel, 1900
Dorylinae	Cerapachys	jacobsoni		Forel, 1912
Dorylinae	Cerapachys	kh02		null
Dorylinae	Cheliomyrmex	morosus_cf		null
Dorylinae	Chrysapace	mg01		null
Dorylinae	Chrysapace	sauteri		(Forel, 1913)
Dorylinae	Cylindromyrmex	meinerti		Forel, 1905
Dorylinae	Cylindromyrmex	striatus		Mayr, 1870
Dorylinae	Dorylus	emeryi	opacus	Forel, 1909
Dorylinae	Dorylus	ga01		null
Dorylinae	Dorylus	helvolus		(Linnaeus, 1764)
Dorylinae	Dorylus	laevigatus		(Smith, 1857)
Dorylinae	Eburopone	cm02		null
Dorylinae	Eburopone	dr01		null
Dorylinae	Eburopone	mg14		null
Dorylinae	Eburopone	mg42		null
Dorylinae	Eburopone	mg43		null
Dorylinae	Eciton	vagans		(Olivier, 1792)
Dorylinae	Eciton	vagans	angustatum	Roger, 1863
Dorylinae	Labidus	praedator		(Smith, 1858)
Dorylinae	Leptanilloides	br01		null
Dorylinae	Leptanilloides	femoralis		Borowiec & Longino, 2011
Dorylinae	Leptanilloides	gracilis		Borowiec & Longino, 2011
Dorylinae	Leptanilloides	mckennae		Longino, 2003
Dorylinae	Leptanilloides	nomada		Donoso, Vieira & Wild, 2006
Dorylinae	Leptanilloides	nubecula		Donoso, Vieira & Wild, 2006
Dorylinae	Lioponera	foreli		(Santschi, 1914)
Dorylinae	Lioponera	kh01		null
Dorylinae	Lioponera	larvata		(Wheeler, 1918)
Dorylinae	Lioponera	lk01		null
Dorylinae	Lioponera	mg09		null
Dorylinae	Lioponera	nkomoensis		(Forel, 1916)
Dorylinae	Lioponera	pg01		null
Dorylinae	Lioponera	suscitata		(Viehmeyer, 1913)
Dorylinae	Lividopone	mg04		null
Dorylinae	Lividopone	mg08		null
Dorylinae	Lividopone	mg11		null
Dorylinae	Neivamyrmex	cr01		null
Dorylinae	Neivamyrmex	nigrescens		(Cresson, 1872)
Dorylinae	Neocerapachys	splendens		(Borgmeier, 1957)
Dorylinae	Nomamyrmex	esenbeckii		(Westwood, 1842)
Dorylinae	Ooceraea	australis		(Forel, 1900)
Dorylinae	Ooceraea	biroi		(Forel, 1907)
Dorylinae	Ooceraea	fragosa		Roger, 1862
Dorylinae	Ooceraea	th02		null
Dorylinae	Parasyscia	desposyne		(Wilson, 1959)
Dorylinae	Parasyscia	dohertyi		(Emery, 1902)
Dorylinae	Parasyscia	lk02		null
Dorylinae	Parasyscia	mg03		null
Dorylinae	Parasyscia	sylvicola		(Arnold, 1955)
Dorylinae	Parasyscia	th01		null
Dorylinae	Parasyscia	th03		null
Dorylinae	Simopone	conradti		Emery, 1899
Dorylinae	Simopone	dryas		Bolton & Fisher, 2012
Dorylinae	Simopone	elegans		Bolton & Fisher, 2012
Dorylinae	Simopone	grandidieri		Forel, 1891
Dorylinae	Simopone	latiscapa		Bolton & Fisher, 2012
Dorylinae	Simopone	marleyi		Arnold, 1915
Dorylinae	Simopone	oculata		Radchenko, 1993
Dorylinae	Simopone	trita		Bolton & Fisher, 2012
Dorylinae	Sphinctomyrmex	stali		Mayr, 1866
Dorylinae	Syscia	augustae		(Wheeler, 1902)
Dorylinae	Syscia	typhla		Roger, 1861
Dorylinae	Tanipone	zona		Bolton & Fisher, 2012
