Subfamily	Genus	Species	Subspecies	Author Date
Myrmicinae	Temnothorax	bernardi		(Espadaler, 1982)
Myrmicinae	Temnothorax	kutteri		(Cagniant, 1973)
Myrmicinae	Temnothorax	poeyi		(Wheeler, 1913)
Myrmicinae	Temnothorax	rugatulus		(Emery, 1895)
Myrmicinae	Terataner	bottegoi		(Emery, 1896)
Myrmicinae	Terataner	fhg-glad		null
Myrmicinae	Terataner	fhg-plut		null
Myrmicinae	Tetheamyrma	subspongia		Bolton, 1991
Myrmicinae	Tetramorium	atratulum		(Schenck, 1852)
Myrmicinae	Tetramorium	caespitum		(Linnaeus, 1758)
Myrmicinae	Tetramorium	caespitum_cf		null
Myrmicinae	Tetramorium	cf01		null
Myrmicinae	Tetramorium	kutteri		(Tinaut, 1990)
Myrmicinae	Tetramorium	mg125		null
Myrmicinae	Tetramorium	severini		(Emery, 1895)
Myrmicinae	Tetramorium	spinosum		(Pergande, 1896)
Myrmicinae	Tetramorium	taylori		Bolton, 1985
Myrmicinae	Tetramorium	validiusculum		Emery, 1897
Myrmicinae	Tetramorium	venator		Hita Garcia & Fisher, 2014
Myrmicinae	Trachymyrmex	arizonensis		(Wheeler, 1907)
Myrmicinae	Tranopelta	gilva		Mayr, 1866
Myrmicinae	Tranopelta	subterranea		(Mann, 1916)
Myrmicinae	Trichomyrmex	criniceps		(Mayr, 1879)
Myrmicinae	Trichomyrmex	destructor		(Jerdon, 1851)
Myrmicinae	Trichomyrmex	robustior		(Forel, 1892)
Myrmicinae	Tropidomyrmex	elianae		Silva, Feitosa, Brandão & Diniz, 2009
Myrmicinae	Tyrannomyrmex	legatus		Alpert, 2013
Myrmicinae	Veromessor	andrei		(Mayr, 1886)
Myrmicinae	Vitsika	brevis		(Bolton & Fisher, 2014)
Myrmicinae	Vitsika	crebra		Bolton & Fisher, 2014
Myrmicinae	Vitsika	producta		(Bolton & Fisher, 2014)
Myrmicinae	Vitsika	suspicax		Bolton & Fisher, 2014
Myrmicinae	Vollenhovia	emeryi		Wheeler, 1906
Myrmicinae	Vollenhovia	pg01		null
Myrmicinae	Vollenhovia	pg02		null
Myrmicinae	Vombisidris	bilongrudi		(Taylor, 1989)
Myrmicinae	Wasmannia	auropunctata		(Roger, 1863)
Myrmicinae	Xenomyrmex	floridanus		Emery, 1895
Paraponerinae	Paraponera	clavata		(Fabricius, 1775)
Paraponerinae	Paraponera	clavata_2		null
Ponerinae	Anochetus	madagascarensis		Forel, 1887
Ponerinae	Asphinctopone	silvestrii		Santschi, 1914
Ponerinae	Belonopelta	hn01		null
Ponerinae	Boloponera	vicans		Fisher, 2006
Ponerinae	Bothroponera	wasmannii		Forel, 1887
Ponerinae	Brachyponera	obscurans		(Walker, 1859)
Ponerinae	Centromyrmex	angolensis		Santschi, 1937
Ponerinae	Cryptopone	gilva		(Roger, 1863)
Ponerinae	Cryptopone	hartwigi		Arnold, 1948
Ponerinae	Cryptopone	testacea		Emery, 1893
Ponerinae	Diacamma	pallidum		(Smith, 1858)
Ponerinae	Dinoponera	longipes		Emery, 1901
Ponerinae	Ectomomyrmex	leeuwenhoeki		(Forel, 1886)
Ponerinae	Emeryopone	my01		null
Ponerinae	Emeryopone	th01		null
Ponerinae	Euponera	brunoi		(Forel, 1913)
Ponerinae	Euponera	maeva		(Rakotonirina & Fisher, 2013)
Ponerinae	Euponera	sikorae		(Forel, 1891)
Ponerinae	Euponera	sjostedti		(Mayr, 1896)
Ponerinae	Euponera	tahary		(Rakotonirina & Fisher, 2013)
Ponerinae	Fisheropone	ambigua		(Weber, 1942)
Ponerinae	Harpegnathos	saltator		Jerdon, 1851
Ponerinae	Hypoponera	opacior		(Forel, 1893)
Ponerinae	Hypoponera	sakalava		(Forel, 1891)
Ponerinae	Leptogenys	antongilensis		Emery, 1899
Ponerinae	Leptogenys	coerulescens		Emery, 1895
Ponerinae	Leptogenys	diminuta		(Smith, 1857)
Ponerinae	Loboponera	politula		Bolton & Brown, 2002
Ponerinae	Mesoponera	ambigua		(André, 1890)
Ponerinae	Mesoponera	melanaria		(Emery, 1893)
Ponerinae	Myopias	my01		null
Ponerinae	Myopias	tenuis		(Emery, 1900)
Ponerinae	Neoponera	unidentata		(Mayr, 1862)
Ponerinae	Odontomachus	coquereli		Roger, 1861
Ponerinae	Odontoponera	transversa		(Smith, 1857)
Ponerinae	Parvaponera	afr10		null
Ponerinae	Parvaponera	darwinii	madecassa	(Emery, 1899)
Ponerinae	Parvaponera	ug01		null
Ponerinae	Phrynoponera	pulchella		Bolton & Fisher, 2008
Ponerinae	Platythyrea	arthuri		Forel, 1910
Ponerinae	Platythyrea	lamellosa		(Roger, 1860)
Ponerinae	Platythyrea	mocquerysi		Emery, 1899
Ponerinae	Platythyrea	punctata		(Smith, 1858)
Ponerinae	Plectroctena	ugandensis		Menozzi, 1932
Ponerinae	Ponera	swezeyi		(Wheeler, 1933)
Ponerinae	Promyopias	silvestrii		(Santschi, 1914)
Ponerinae	Psalidomyrmex	procerus		Emery, 1901
Ponerinae	Pseudoponera	stigma		(Fabricius, 1804)
Ponerinae	Simopelta	pergandei_cf		null
Ponerinae	Streblognathus	peetersi		Robertson, 2002
Ponerinae	Thaumatomyrmex	atrox		Weber, 1939
Ponerinae	Thaumatomyrmex	br02		null
Proceratiinae	Discothyrea	mg04		null
Proceratiinae	Discothyrea	sc02		null
Proceratiinae	Discothyrea	sc03		null
Proceratiinae	Discothyrea	scm01		null
Proceratiinae	Discothyrea	testacea		Roger, 1863
Proceratiinae	Probolomyrmex	brujitae_cf		null
Proceratiinae	Probolomyrmex	tani		Fisher, 2007
Proceratiinae	Proceratium	avium		Brown, 1974
Proceratiinae	Proceratium	fhg-mala		null
Proceratiinae	Proceratium	sc02		null
Proceratiinae	Proceratium	silaceum		Roger, 1863
Proceratiinae	Proceratium	stictum		Brown, 1958
Pseudomyrmecinae	Myrcidris	epicharis		Ward, 1990
Pseudomyrmecinae	Pseudomyrmex	gracilis		(Fabricius, 1804)
Pseudomyrmecinae	Tetraponera	punctulata		Smith, 1877
Pseudomyrmecinae	Tetraponera	rufonigra		(Jerdon, 1851)
